x,y,heading,curvature
3.015714285714286547e+01,-1.108571428571428541e+01,-2.425521748558491009e+00,2.405016441204429600e-03
3.006452075220890663e+01,-1.116633086075652059e+01,-2.425257314714496015e+00,1.902021103719992497e-03
2.997191566859708090e+01,-1.124697064190194418e+01,-2.425054635065785114e+00,1.399113886483847489e-03
2.987932310639282107e+01,-1.132762749416989934e+01,-2.424913703339931725e+00,8.962717485304739573e-04
2.978673856568152445e+01,-1.140829528257973458e+01,-2.424834515160690263e+00,3.934714155185328310e-04
2.969415754654864514e+01,-1.148896787215079662e+01,-2.424817068063777281e+00,-1.093105363361495736e-04
2.960157554907959110e+01,-1.156963912790242865e+01,-2.424861361505736390e+00,-6.120975964102628964e-04
2.950898807335978802e+01,-1.165030291485397385e+01,-2.424967396865892688e+00,-1.114913235859070267e-03
2.941639061947465450e+01,-1.173095309802478070e+01,-2.425135177441393175e+00,-1.617780823792361669e-03
2.932377868750961625e+01,-1.181158354243419417e+01,-2.425364708435334471e+00,-2.120723543393847853e-03
2.923114814750243795e+01,-1.189218861747790257e+01,-2.425620971971276685e+00,-1.311750028470132483e-03
2.913850668199171778e+01,-1.197277879718264870e+01,-2.425627669616176707e+00,1.202660718522816042e-03
2.904587597817888422e+01,-1.205338364890111436e+01,-2.425325631232111423e+00,3.716792564877830288e-03
2.895327853563685139e+01,-1.213403384753658543e+01,-2.424714903654447973e+00,6.230057358115027866e-03
2.886073685393848365e+01,-1.221476006799232472e+01,-2.423795582434584261e+00,8.741851466040246460e-03
2.876826843830005487e+01,-1.229558617609096061e+01,-2.422882882603758059e+00,3.385989269666358527e-03
2.867582958541107985e+01,-1.237645258870935727e+01,-2.423053364587958391e+00,-6.162389911337702239e-03
2.858333555393013015e+01,-1.245724377332320110e+01,-2.424396718155110708e+00,-1.571631508541742814e-02
2.849070084548024084e+01,-1.253784316530004972e+01,-2.426913738797286779e+00,-2.528401861882958318e-02
2.839783996168444347e+01,-1.261813420000746433e+01,-2.430605860677974128e+00,-3.487278344705442568e-02
2.830471179844692386e+01,-1.269806083797439911e+01,-2.433370642872469070e+00,-5.034968485768496517e-03
2.821153881363209948e+01,-1.277792636822363015e+01,-2.431793916137208189e+00,3.072452721004784865e-02
2.811864035167467435e+01,-1.285816617055970390e+01,-2.425831694201189048e+00,6.638701934273527616e-02
2.802633590650964024e+01,-1.293921582860911279e+01,-2.415497297534374699e+00,1.018143623873518783e-01
2.793494480578406325e+01,-1.302151069928890159e+01,-2.400895693669864883e+00,1.222108425123107911e-01
2.784446333399659679e+01,-1.310504571705204491e+01,-2.394002184026520652e+00,-1.008602585662755728e-02
2.775389075603592914e+01,-1.318845652476619357e+01,-2.403384895700395152e+00,-1.425434334365801581e-01
2.766203459453908664e+01,-1.327011735255782909e+01,-2.429136227533295056e+00,-2.769468353748951173e-01
2.756770237214309205e+01,-1.334840243055343478e+01,-2.471436255522290626e+00,-4.133844120122995847e-01
2.746971309315198084e+01,-1.342170164246731012e+01,-2.528781383078136713e+00,-4.647098689605296262e-01
2.736774278559938978e+01,-1.348957329957800688e+01,-2.576953425890665450e+00,-3.217890725097596327e-01
2.726290277905541615e+01,-1.355353253865240859e+01,-2.607762964124265892e+00,-1.804213489888823463e-01
